Transaction_ID,Transaction_Type,Category,Amount,Date,Season,Weather,Customer_ID,Incident_ID
0,Revenue,Ticket Sale,3500,2025-02-25,Winter,Foggy,1415,
1,Revenue,Ticket Sale,640,2025-02-25,Winter,Windy,5095,
2,Expense,Ambulance Call,-1490,2025-02-25,Winter,Foggy,,96
3,Expense,Equipment Maintenance,-730,2025-02-25,Winter,Sunny,,
4,Expense,Staff Salary,-4238,2025-02-25,Summer,Sunny,,
5,Revenue,Rental,60,2025-02-25,Summer,Rainy,2766,
6,Revenue,Ticket Sale,5600,2025-02-25,Winter,Foggy,6465,
7,Expense,Staff Salary,-5356,2025-02-25,Winter,Sunny,,
8,Expense,Equipment Maintenance,-773,2025-02-25,Summer,Sunny,,
9,Revenue,Ticket Sale,350,2025-02-25,Winter,Sunny,1546,
10,Revenue,Ticket Sale,320,2025-02-25,Summer,Windy,3089,
11,Expense,Ambulance Call,-1282,2025-02-25,Summer,Sunny,,775
12,Revenue,Ticket Sale,550,2025-02-25,Winter,Sunny,1855,
13,Revenue,Ticket Sale,320,2025-02-25,Summer,Rainy,7735,
14,Expense,Equipment Maintenance,-371,2025-02-25,Winter,Windy,,
15,Expense,Staff Salary,-5902,2025-02-25,Summer,Rainy,,
16,Revenue,Ticket Sale,7700,2025-02-25,Winter,Foggy,8439,
17,Revenue,Rental,100,2025-02-25,Summer,Windy,2769,
18,Expense,Staff Salary,-8670,2025-02-25,Winter,Sunny,,
19,Expense,Staff Salary,-8987,2025-02-25,Winter,Snowy,,
20,Expense,Equipment Maintenance,-311,2025-02-25,Summer,Rainy,,
21,Expense,Staff Salary,-4140,2025-02-25,Summer,Windy,,
22,Revenue,Rental,100,2025-02-25,Summer,Sunny,3255,
23,Expense,Ambulance Call,-1016,2025-02-25,Winter,Snowy,,780
24,Expense,Staff Salary,-8348,2025-02-25,Summer,Rainy,,
25,Expense,Equipment Maintenance,-764,2025-02-25,Winter,Snowy,,
26,Expense,Ambulance Call,-1375,2025-02-25,Summer,Windy,,501
27,Expense,Staff Salary,-5827,2025-02-25,Summer,Sunny,,
28,Revenue,Rental,70,2025-02-25,Winter,Sunny,9308,
29,Expense,Ambulance Call,-1519,2025-02-25,Winter,Windy,,372
30,Revenue,Ticket Sale,720,2025-02-25,Winter,Snowy,6595,
31,Expense,Equipment Maintenance,-389,2025-02-25,Summer,Windy,,
32,Expense,Staff Salary,-8815,2025-02-25,Summer,Windy,,
33,Expense,Ambulance Call,-1803,2025-02-25,Summer,Windy,,708
34,Revenue,Ticket Sale,240,2025-02-25,Summer,Sunny,8443,
35,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,4654,
36,Expense,Staff Salary,-8171,2025-02-25,Winter,Windy,,
37,Expense,Equipment Maintenance,-699,2025-02-25,Winter,Snowy,,
38,Expense,Equipment Maintenance,-370,2025-02-25,Summer,Windy,,
39,Revenue,Rental,315,2025-02-25,Winter,Windy,1110,
40,Expense,Ambulance Call,-2203,2025-02-25,Winter,Sunny,,40
41,Expense,Ambulance Call,-2147,2025-02-25,Winter,Snowy,,799
42,Revenue,Ticket Sale,720,2025-02-25,Winter,Foggy,1486,
43,Revenue,Rental,315,2025-02-25,Winter,Foggy,4587,
44,Expense,Staff Salary,-8290,2025-02-25,Winter,Foggy,,
45,Revenue,Rental,240,2025-02-25,Winter,Snowy,1352,
46,Revenue,Ticket Sale,200,2025-02-25,Summer,Sunny,3248,
47,Revenue,Rental,270,2025-02-25,Winter,Foggy,5998,
48,Expense,Ambulance Call,-1460,2025-02-25,Winter,Foggy,,296
49,Revenue,Ticket Sale,240,2025-02-25,Summer,Windy,2941,
50,Revenue,Rental,315,2025-02-25,Winter,Snowy,9725,
51,Expense,Staff Salary,-8159,2025-02-25,Summer,Rainy,,
52,Revenue,Rental,50,2025-02-25,Summer,Windy,1756,
53,Expense,Ambulance Call,-1026,2025-02-25,Summer,Sunny,,442
54,Revenue,Rental,60,2025-02-25,Winter,Foggy,9327,
55,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,8711,
56,Expense,Staff Salary,-8933,2025-02-25,Winter,Snowy,,
57,Expense,Staff Salary,-8926,2025-02-25,Summer,Windy,,
58,Expense,Staff Salary,-5187,2025-02-25,Summer,Rainy,,
59,Expense,Ambulance Call,-1917,2025-02-25,Summer,Sunny,,649
60,Expense,Equipment Maintenance,-523,2025-02-25,Summer,Windy,,
61,Expense,Staff Salary,-4783,2025-02-25,Summer,Rainy,,
62,Expense,Staff Salary,-4949,2025-02-25,Summer,Windy,,
63,Revenue,Rental,270,2025-02-25,Winter,Snowy,4325,
64,Revenue,Rental,315,2025-02-25,Winter,Windy,6013,
65,Revenue,Rental,90,2025-02-25,Summer,Windy,7129,
66,Revenue,Ticket Sale,550,2025-02-25,Winter,Snowy,5834,
67,Expense,Staff Salary,-6081,2025-02-25,Summer,Sunny,,
68,Expense,Staff Salary,-7498,2025-02-25,Winter,Windy,,
69,Expense,Equipment Maintenance,-520,2025-02-25,Summer,Rainy,,
70,Expense,Equipment Maintenance,-833,2025-02-25,Summer,Rainy,,
71,Expense,Ambulance Call,-1691,2025-02-25,Summer,Rainy,,476
72,Revenue,Rental,150,2025-02-25,Summer,Sunny,8236,
73,Revenue,Ticket Sale,160,2025-02-25,Summer,Windy,6883,
74,Expense,Staff Salary,-7406,2025-02-25,Summer,Windy,,
75,Revenue,Rental,120,2025-02-25,Winter,Foggy,2612,
76,Revenue,Ticket Sale,640,2025-02-25,Winter,Foggy,9946,
77,Expense,Ambulance Call,-2032,2025-02-25,Summer,Sunny,,443
78,Expense,Ambulance Call,-2311,2025-02-25,Summer,Windy,,353
79,Revenue,Ticket Sale,400,2025-02-25,Winter,Foggy,5906,
80,Expense,Equipment Maintenance,-349,2025-02-25,Summer,Rainy,,
81,Expense,Staff Salary,-5873,2025-02-25,Winter,Windy,,
82,Revenue,Rental,70,2025-02-25,Winter,Windy,4717,
83,Revenue,Rental,60,2025-02-25,Winter,Windy,9451,
84,Expense,Equipment Maintenance,-886,2025-02-25,Summer,Windy,,
85,Expense,Ambulance Call,-1277,2025-02-25,Summer,Sunny,,353
86,Expense,Equipment Maintenance,-599,2025-02-25,Summer,Windy,,
87,Expense,Equipment Maintenance,-888,2025-02-25,Winter,Windy,,
88,Revenue,Rental,180,2025-02-25,Winter,Foggy,3102,
89,Expense,Ambulance Call,-1648,2025-02-25,Winter,Windy,,584
90,Expense,Equipment Maintenance,-434,2025-02-25,Winter,Windy,,
91,Expense,Staff Salary,-8675,2025-02-25,Summer,Windy,,
92,Expense,Staff Salary,-5170,2025-02-25,Summer,Rainy,,
93,Revenue,Rental,180,2025-02-25,Winter,Sunny,3518,
94,Revenue,Rental,100,2025-02-25,Summer,Rainy,7400,
95,Expense,Equipment Maintenance,-458,2025-02-25,Summer,Sunny,,
96,Expense,Staff Salary,-8479,2025-02-25,Winter,Foggy,,
97,Expense,Ambulance Call,-1162,2025-02-25,Summer,Windy,,152
98,Expense,Staff Salary,-6488,2025-02-25,Winter,Sunny,,
99,Expense,Staff Salary,-5876,2025-02-25,Winter,Sunny,,
100,Revenue,Rental,50,2025-02-25,Summer,Sunny,4260,
101,Revenue,Rental,90,2025-02-25,Summer,Rainy,4818,
102,Revenue,Ticket Sale,4900,2025-02-25,Winter,Windy,7039,
103,Expense,Ambulance Call,-2204,2025-02-25,Winter,Snowy,,703
104,Revenue,Ticket Sale,2100,2025-02-25,Summer,Sunny,3115,
105,Revenue,Ticket Sale,320,2025-02-25,Summer,Rainy,7373,
106,Expense,Ambulance Call,-2161,2025-02-25,Winter,Snowy,,775
107,Expense,Staff Salary,-4129,2025-02-25,Summer,Sunny,,
108,Revenue,Rental,60,2025-02-25,Summer,Windy,9232,
109,Revenue,Ticket Sale,100,2025-02-25,Summer,Sunny,3337,
110,Expense,Staff Salary,-4143,2025-02-25,Winter,Windy,,
111,Expense,Staff Salary,-4015,2025-02-25,Winter,Foggy,,
112,Expense,Equipment Maintenance,-601,2025-02-25,Summer,Rainy,,
113,Expense,Ambulance Call,-1422,2025-02-25,Winter,Sunny,,826
114,Expense,Ambulance Call,-1244,2025-02-25,Summer,Windy,,675
115,Revenue,Rental,50,2025-02-25,Winter,Windy,3942,
116,Expense,Equipment Maintenance,-387,2025-02-25,Summer,Rainy,,
117,Expense,Equipment Maintenance,-428,2025-02-25,Winter,Sunny,,
118,Revenue,Rental,50,2025-02-25,Winter,Snowy,5485,
119,Revenue,Ticket Sale,200,2025-02-25,Summer,Windy,4559,
120,Revenue,Ticket Sale,160,2025-02-25,Summer,Windy,7041,
121,Expense,Equipment Maintenance,-303,2025-02-25,Winter,Foggy,,
122,Expense,Ambulance Call,-2350,2025-02-25,Summer,Sunny,,406
123,Revenue,Ticket Sale,4200,2025-02-25,Winter,Windy,2199,
124,Expense,Ambulance Call,-1305,2025-02-25,Summer,Rainy,,685
125,Revenue,Ticket Sale,400,2025-02-25,Winter,Windy,1175,
126,Expense,Ambulance Call,-1606,2025-02-25,Winter,Snowy,,855
127,Revenue,Ticket Sale,1400,2025-02-25,Summer,Rainy,2352,
128,Revenue,Rental,135,2025-02-25,Winter,Windy,8713,
129,Revenue,Ticket Sale,560,2025-02-25,Winter,Snowy,2646,
130,Expense,Staff Salary,-5371,2025-02-25,Summer,Sunny,,
131,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,1183,
132,Expense,Equipment Maintenance,-858,2025-02-25,Summer,Sunny,,
133,Revenue,Rental,50,2025-02-25,Summer,Sunny,1564,
134,Revenue,Ticket Sale,2100,2025-02-25,Summer,Windy,9566,
135,Expense,Ambulance Call,-1710,2025-02-25,Winter,Windy,,804
136,Revenue,Ticket Sale,480,2025-02-25,Winter,Sunny,7183,
137,Revenue,Rental,160,2025-02-25,Winter,Foggy,4276,
138,Revenue,Ticket Sale,400,2025-02-25,Winter,Windy,1238,
139,Revenue,Rental,60,2025-02-25,Winter,Sunny,2582,
140,Revenue,Ticket Sale,4900,2025-02-25,Winter,Snowy,7810,
141,Expense,Ambulance Call,-1409,2025-02-25,Winter,Foggy,,353
142,Expense,Equipment Maintenance,-595,2025-02-25,Winter,Windy,,
143,Revenue,Rental,180,2025-02-25,Winter,Snowy,2734,
144,Revenue,Ticket Sale,2800,2025-02-25,Summer,Sunny,7588,
145,Expense,Equipment Maintenance,-630,2025-02-25,Summer,Sunny,,
146,Revenue,Rental,70,2025-02-25,Winter,Windy,2081,
147,Expense,Staff Salary,-4011,2025-02-25,Summer,Windy,,
148,Revenue,Ticket Sale,200,2025-02-25,Summer,Sunny,4580,
149,Expense,Equipment Maintenance,-789,2025-02-25,Summer,Windy,,
150,Expense,Ambulance Call,-1794,2025-02-25,Winter,Snowy,,155
151,Expense,Equipment Maintenance,-481,2025-02-25,Summer,Windy,,
152,Revenue,Rental,40,2025-02-25,Winter,Foggy,6209,
153,Expense,Ambulance Call,-1655,2025-02-25,Summer,Sunny,,20
154,Expense,Staff Salary,-6077,2025-02-25,Summer,Rainy,,
155,Revenue,Rental,60,2025-02-25,Winter,Sunny,1347,
156,Revenue,Rental,240,2025-02-25,Winter,Foggy,8020,
157,Revenue,Rental,135,2025-02-25,Winter,Sunny,7136,
158,Revenue,Rental,50,2025-02-25,Summer,Sunny,7156,
159,Expense,Staff Salary,-8873,2025-02-25,Winter,Snowy,,
160,Expense,Ambulance Call,-1443,2025-02-25,Summer,Windy,,244
161,Revenue,Ticket Sale,150,2025-02-25,Summer,Rainy,9533,
162,Revenue,Rental,30,2025-02-25,Summer,Sunny,6427,
